member_type,rideable_type,trip_year,trip_month,trip_day_of_week,trip_hour,avg_ride_length_seconds,total_trips
member,classic_bike,2024,9,3,18,813,2717
casual,electric_bike,2024,1,6,12,643,93
member,electric_scooter,2024,9,4,13,451,408
casual,electric_bike,2024,2,4,21,464,74
member,electric_bike,2024,3,1,13,741,1036
casual,classic_bike,2024,4,3,9,1791,289
casual,electric_bike,2024,5,7,13,1329,1643
member,electric_bike,2024,6,4,4,839,64
casual,classic_bike,2024,7,6,0,1772,267
member,classic_bike,2024,11,5,22,782,289
member,electric_bike,2024,1,3,5,444,128
casual,electric_bike,2024,2,6,9,593,108
member,classic_bike,2024,6,5,16,815,2689
casual,electric_scooter,2024,9,4,13,647,529
casual,electric_bike,2024,11,7,16,806,733
member,classic_bike,2024,1,4,17,780,1763
casual,electric_bike,2024,3,2,8,558,234
member,classic_bike,2024,3,2,1,891,21
member,classic_bike,2024,4,7,8,814,635
casual,electric_bike,2024,4,1,13,1246,1188
casual,electric_bike,2024,7,4,4,527,64
member,classic_bike,2024,10,3,19,705,1743
casual,classic_bike,2024,9,6,12,1683,1024
member,electric_bike,2024,10,2,6,595,893
casual,classic_bike,2024,10,3,12,1882,634
member,electric_bike,2024,4,6,19,657,1109
casual,classic_bike,2024,9,4,1,924,43
casual,classic_bike,2024,10,1,1,2015,258
member,electric_bike,2024,5,2,1,647,143
casual,electric_bike,2024,9,3,22,777,478
member,electric_bike,2024,11,2,21,545,503
member,classic_bike,2024,1,5,18,838,906
casual,electric_bike,2024,7,5,14,1122,1165
casual,electric_bike,2024,1,5,2,368,10
member,electric_bike,2024,2,4,13,650,538
casual,electric_bike,2024,4,2,0,789,119
casual,electric_bike,2024,6,4,13,1000,976
member,electric_bike,2024,9,6,8,637,1915
member,classic_bike,2024,9,1,4,735,70
casual,electric_bike,2024,10,7,1,599,457
member,classic_bike,2024,12,2,21,630,290
casual,classic_bike,2024,12,7,15,1280,272
casual,electric_bike,2024,3,3,9,596,197
member,electric_bike,2024,4,5,9,562,997
casual,electric_bike,2024,6,6,1,695,230
casual,classic_bike,2024,8,6,15,1729,1876
member,electric_bike,2024,9,7,12,799,1970
casual,classic_bike,2024,9,3,20,1103,501
casual,classic_bike,2024,12,6,11,860,62
member,electric_bike,2024,2,1,21,610,206
casual,electric_bike,2024,2,5,8,528,223
member,classic_bike,2024,2,5,1,709,23
casual,classic_bike,2024,5,3,1,1144,51
casual,electric_bike,2024,6,7,5,885,109
member,classic_bike,2024,7,4,12,743,1588
member,electric_scooter,2024,9,3,12,448,293
casual,classic_bike,2024,10,2,11,1877,682
member,classic_bike,2024,1,1,2,577,23
member,electric_bike,2024,3,5,18,608,1356
casual,classic_bike,2024,3,7,10,1825,585
casual,classic_bike,2024,6,4,8,1058,576
member,electric_bike,2024,8,7,20,787,1548
member,electric_bike,2024,9,4,20,708,1387
casual,electric_bike,2024,1,2,7,496,91
member,classic_bike,2024,2,2,9,838,666
member,electric_bike,2024,7,3,23,726,480
casual,classic_bike,2024,8,5,5,992,101
casual,classic_bike,2024,11,2,3,760,13
member,electric_bike,2024,3,2,23,575,118
casual,electric_bike,2024,5,3,8,620,515
casual,electric_bike,2024,12,5,3,492,10
casual,classic_bike,2024,3,6,0,876,64
casual,classic_bike,2024,7,5,13,2032,1230
casual,classic_bike,2024,7,2,18,1489,1820
casual,electric_bike,2024,2,3,17,770,368
casual,electric_bike,2024,3,5,23,669,163
member,electric_bike,2024,4,2,14,673,1407
member,classic_bike,2024,4,3,3,1013,15
casual,electric_scooter,2024,9,1,21,902,592
casual,electric_bike,2024,10,2,18,710,935
member,classic_bike,2024,1,7,9,743,319
casual,electric_bike,2024,4,7,6,657,75
casual,electric_bike,2024,6,1,18,1116,1820
casual,electric_bike,2024,7,3,23,791,333
casual,electric_bike,2024,11,4,1,541,51
member,electric_scooter,2024,9,1,21,460,226
member,classic_bike,2024,10,4,20,811,1298
member,electric_bike,2024,6,1,12,843,2333
member,electric_bike,2024,2,3,12,607,562
member,classic_bike,2024,2,4,0,642,55
member,classic_bike,2024,3,1,0,852,188
member,classic_bike,2024,5,1,16,1026,1758
casual,classic_bike,2024,11,7,9,1427,446
member,classic_bike,2024,2,6,11,704,801
casual,electric_bike,2024,2,1,6,566,17
member,classic_bike,2024,3,3,11,651,592
member,electric_bike,2024,8,5,6,616,1195
casual,electric_bike,2024,3,7,14,1018,966
member,electric_bike,2024,10,5,21,621,1217
casual,classic_bike,2024,10,7,17,1854,1589
member,electric_bike,2024,11,6,6,703,710
casual,classic_bike,2024,12,5,1,1961,10
member,electric_bike,2024,12,3,6,583,583
member,classic_bike,2024,3,6,3,497,22
member,electric_bike,2024,4,7,20,619,782
casual,electric_bike,2024,4,2,23,692,183
casual,classic_bike,2024,9,1,9,2162,1044
casual,classic_bike,2024,12,4,0,807,16
member,classic_bike,2024,1,2,3,899,26
casual,classic_bike,2024,1,5,23,670,22
casual,electric_bike,2024,5,2,7,648,330
member,electric_bike,2024,5,7,4,693,74
casual,electric_bike,2024,10,3,16,805,1394
member,classic_bike,2024,4,5,17,791,2114
member,electric_bike,2024,7,3,0,693,196
member,classic_bike,2024,11,1,20,712,360
casual,electric_bike,2024,1,4,21,625,72
member,electric_bike,2024,5,4,12,657,1543
member,classic_bike,2024,7,5,10,823,934
casual,classic_bike,2024,11,5,18,769,243
casual,electric_bike,2024,1,7,13,553,85
casual,classic_bike,2024,1,4,2,521,2
member,electric_bike,2024,2,5,3,635,25
casual,classic_bike,2024,2,1,2,2455,41
member,electric_bike,2024,3,2,3,612,22
casual,classic_bike,2024,8,7,16,1801,3087
member,classic_bike,2024,10,6,11,646,1165
member,classic_bike,2024,11,3,11,689,779
casual,electric_bike,2024,4,5,15,802,518
member,electric_bike,2024,1,6,20,631,242
casual,electric_bike,2024,7,6,15,1155,1810
member,electric_bike,2024,3,6,2,403,56
casual,electric_bike,2024,3,6,4,588,22
casual,electric_scooter,2024,9,7,14,812,949
casual,electric_bike,2024,1,1,23,431,35
casual,classic_bike,2024,1,3,18,789,129
member,classic_bike,2024,10,3,16,756,3218
member,electric_bike,2024,5,2,21,678,695
casual,electric_bike,2024,9,3,2,548,60
casual,electric_bike,2024,2,2,13,981,155
member,electric_bike,2024,3,1,16,655,1001
member,classic_bike,2024,3,7,13,892,1555
member,classic_bike,2024,4,6,18,799,1216
casual,classic_bike,2024,4,1,1,2840,129
member,electric_bike,2024,6,4,7,691,1864
casual,classic_bike,2024,10,1,21,1327,227
casual,classic_bike,2024,1,7,17,1052,71
member,electric_bike,2024,1,5,19,528,505
casual,electric_bike,2024,1,6,9,443,57
casual,classic_bike,2024,2,5,4,501,8
member,classic_bike,2024,4,2,19,823,1477
casual,electric_scooter,2024,9,2,5,476,99
casual,classic_bike,2024,9,1,6,3680,193
member,classic_bike,2024,10,7,15,883,1712
member,classic_bike,2024,11,5,2,354,18
casual,classic_bike,2024,3,5,19,1379,197
casual,classic_bike,2024,2,7,9,1108,148
casual,classic_bike,2024,3,4,9,1219,156
casual,electric_bike,2024,6,5,20,855,1124
member,electric_bike,2024,4,6,16,634,1499
casual,electric_bike,2024,4,4,14,790,383
casual,classic_bike,2024,5,6,2,1513,57
casual,classic_bike,2024,6,3,1,1469,50
casual,electric_bike,2024,4,3,4,559,30
member,electric_bike,2024,6,2,13,675,1099
member,classic_bike,2024,6,3,2,1449,22
casual,classic_bike,2024,7,2,21,1594,688
casual,classic_bike,2024,12,2,3,774,3
casual,electric_bike,2024,1,3,17,533,197
member,classic_bike,2024,2,1,5,846,26
casual,electric_bike,2024,2,6,12,730,154
casual,electric_bike,2024,5,3,11,943,415
member,electric_scooter,2024,9,7,8,468,173
member,classic_bike,2024,10,5,10,642,1197
member,electric_bike,2024,2,4,16,700,1238
casual,electric_bike,2024,8,1,16,1134,1941
member,classic_bike,2024,9,1,7,1070,533
casual,classic_bike,2024,12,7,12,1282,197
casual,classic_bike,2024,4,4,16,1684,357
casual,classic_bike,2024,5,1,16,2139,1806
casual,classic_bike,2024,5,7,9,2010,1013
member,electric_scooter,2024,9,4,16,551,812
member,electric_bike,2024,10,7,12,754,1831
member,electric_bike,2024,11,4,12,523,935
member,electric_bike,2024,12,1,12,635,722
casual,classic_bike,2024,12,3,10,827,84
member,classic_bike,2024,2,5,4,508,46
casual,electric_bike,2024,2,5,5,374,19
member,electric_bike,2024,3,4,8,592,1632
casual,electric_bike,2024,3,2,5,395,53
member,classic_bike,2024,3,2,4,535,50
member,electric_bike,2024,4,1,7,743,209
casual,classic_bike,2024,7,5,10,2266,592
member,electric_bike,2024,8,3,18,727,2822
casual,classic_bike,2024,8,2,10,2043,561
casual,electric_bike,2024,9,1,8,1286,612
casual,classic_bike,2024,12,4,20,876,49
member,classic_bike,2024,5,3,10,719,672
casual,classic_bike,2024,6,7,0,1785,640
casual,classic_bike,2024,6,1,7,2272,282
member,electric_bike,2024,10,4,20,601,1442
casual,classic_bike,2024,1,6,10,1565,45
casual,classic_bike,2024,2,3,10,1464,149
casual,classic_bike,2024,8,2,13,2122,888
casual,electric_bike,2024,8,4,5,503,133
casual,electric_bike,2024,9,1,5,989,133
member,classic_bike,2024,2,3,10,761,591
member,electric_bike,2024,2,2,22,585,154
member,classic_bike,2024,5,6,2,511,47
casual,electric_bike,2024,6,3,3,1238,55
member,electric_bike,2024,6,3,0,723,134
member,classic_bike,2024,12,2,4,504,30
casual,classic_bike,2024,3,6,3,1495,12
member,electric_scooter,2024,9,6,10,470,247
casual,electric_bike,2024,3,3,12,762,250
casual,classic_bike,2024,6,6,16,1782,1678
member,classic_bike,2024,7,2,21,825,1044
member,classic_bike,2024,10,4,23,803,278
member,electric_bike,2024,1,4,9,658,554
member,electric_bike,2024,1,2,4,535,37
casual,electric_bike,2024,1,7,16,723,96
member,classic_bike,2024,5,1,13,991,1550
member,classic_bike,2024,1,5,21,773,258
casual,classic_bike,2024,2,4,17,1496,434
casual,classic_bike,2024,3,1,17,2015,697
casual,classic_bike,2024,3,2,4,9135,4
casual,electric_bike,2024,7,5,11,1049,749
casual,classic_bike,2024,7,7,7,1918,378
member,electric_bike,2024,8,7,14,865,2305
member,classic_bike,2024,11,4,15,631,1102
member,classic_bike,2024,12,1,14,765,687
casual,classic_bike,2024,1,1,1,3441,18
casual,electric_bike,2024,5,1,17,1109,1185
member,electric_bike,2024,7,1,6,631,216
casual,electric_bike,2024,10,6,17,863,1587
casual,classic_bike,2024,10,7,14,1926,2118
casual,classic_bike,2024,11,4,14,1428,255
member,electric_bike,2024,2,1,1,619,73
casual,classic_bike,2024,4,2,22,2044,181
casual,classic_bike,2024,9,7,22,1477,842
casual,electric_bike,2024,11,6,9,589,350
casual,electric_bike,2024,12,3,9,492,147
member,electric_bike,2024,12,6,1,559,60
member,electric_bike,2024,2,3,9,662,539
member,electric_bike,2024,5,6,0,546,287
member,classic_bike,2024,8,2,13,716,1146
member,electric_bike,2024,12,2,2,451,37
member,classic_bike,2024,1,4,14,945,665
member,classic_bike,2024,4,7,5,876,42
member,classic_bike,2024,6,6,17,891,2717
casual,electric_bike,2024,7,6,18,1052,1833
casual,classic_bike,2024,8,3,0,1442,128
casual,classic_bike,2024,12,5,4,495,6
member,electric_bike,2024,7,3,3,716,74
casual,electric_bike,2024,8,6,2,729,174
member,classic_bike,2024,11,1,23,747,140
member,classic_bike,2024,1,1,22,630,78
member,electric_bike,2024,5,7,7,682,498
member,electric_bike,2024,10,1,5,688,178
casual,electric_bike,2024,3,5,20,613,186
member,electric_bike,2024,4,7,23,621,491
casual,electric_bike,2024,4,2,20,714,481
member,classic_bike,2024,6,2,18,853,2790
casual,electric_bike,2024,9,4,23,870,370
member,classic_bike,2024,9,5,3,640,19
casual,electric_bike,2024,12,7,8,471,102
casual,electric_bike,2024,9,7,21,951,801
member,classic_bike,2024,9,2,5,711,292
casual,classic_bike,2024,6,7,23,1672,776
casual,classic_bike,2024,8,3,17,1540,1547
casual,electric_bike,2024,11,5,5,459,53
member,classic_bike,2024,5,7,6,923,226
casual,electric_bike,2024,6,6,18,1021,1672
casual,electric_bike,2024,6,4,7,686,587
member,electric_bike,2024,12,2,19,577,743
member,electric_bike,2024,7,2,13,644,1467
member,classic_bike,2024,8,5,11,689,1135
member,electric_bike,2024,8,4,22,748,860
casual,classic_bike,2024,8,1,6,2488,154
casual,electric_bike,2024,9,2,12,1126,1202
casual,classic_bike,2024,9,4,7,966,476
member,electric_bike,2024,10,5,4,575,71
casual,classic_bike,2024,10,6,10,2110,659
member,electric_bike,2024,11,7,13,657,1395
casual,classic_bike,2024,5,7,23,1819,565
member,electric_bike,2024,5,6,17,786,3205
member,classic_bike,2024,12,3,8,604,1087
member,classic_bike,2024,3,6,0,672,113
casual,classic_bike,2024,7,1,14,1999,2259
member,classic_bike,2024,8,7,22,855,959
member,electric_bike,2024,9,4,14,693,1582
casual,electric_bike,2024,12,7,14,908,355
casual,classic_bike,2024,4,5,20,1048,147
member,classic_bike,2024,7,1,14,989,1832
member,classic_bike,2024,10,6,17,837,2647
casual,electric_bike,2024,11,3,17,618,583
member,electric_bike,2024,1,3,11,810,234
member,classic_bike,2024,9,7,14,871,1791
member,electric_bike,2024,5,4,6,585,1331
casual,classic_bike,2024,5,5,12,1849,760
casual,classic_bike,2024,6,2,11,2296,714
member,electric_bike,2024,6,1,6,735,376
member,electric_bike,2024,10,3,16,702,3721
casual,classic_bike,2024,10,4,22,1371,310
casual,classic_bike,2024,11,1,22,1287,119
member,classic_bike,2024,12,5,19,650,295
member,electric_bike,2024,1,6,3,599,26
casual,electric_bike,2024,5,6,3,662,67
member,classic_bike,2024,6,7,21,890,834
casual,classic_bike,2024,7,6,17,1727,2321
casual,electric_bike,2024,8,2,20,826,880
casual,electric_bike,2024,8,3,1,860,152
casual,classic_bike,2024,11,6,2,744,29
casual,electric_bike,2024,12,2,5,355,42
casual,electric_bike,2024,5,7,7,929,246
casual,electric_bike,2024,7,1,6,937,153
casual,classic_bike,2024,9,2,13,2084,1439
member,electric_bike,2024,11,5,19,575,726
member,electric_bike,2024,2,5,20,633,415
member,electric_bike,2024,7,7,22,831,1101
casual,classic_bike,2024,7,4,6,960,221
casual,electric_bike,2024,8,5,12,1040,1109
member,electric_bike,2024,9,1,22,714,737
casual,classic_bike,2024,11,3,10,1228,196
member,electric_bike,2024,12,4,13,536,473
casual,electric_bike,2024,5,4,15,964,1198
member,classic_bike,2024,5,2,3,554,23
member,electric_bike,2024,6,3,17,779,3348
member,classic_bike,2024,7,7,7,901,671
casual,electric_bike,2024,8,7,6,847,248
casual,electric_bike,2024,10,1,8,1112,750
casual,classic_bike,2024,9,6,18,1438,1382
casual,classic_bike,2024,10,3,18,1196,971
member,electric_bike,2024,12,7,5,589,31
casual,electric_bike,2024,1,2,13,500,119
member,electric_bike,2024,2,7,8,614,195
member,electric_bike,2024,7,6,18,821,2380
casual,classic_bike,2024,8,5,11,2125,700
member,classic_bike,2024,10,4,6,671,982
casual,classic_bike,2024,4,7,8,1524,275
casual,classic_bike,2024,5,4,8,1289,587
member,classic_bike,2024,7,3,2,709,25
casual,electric_bike,2024,10,5,13,829,865
casual,electric_bike,2024,11,2,13,693,375
member,electric_bike,2024,1,4,15,572,701
member,electric_bike,2024,8,6,10,709,1408
member,electric_bike,2024,9,3,10,672,767
member,classic_bike,2024,4,7,22,1026,362
member,electric_bike,2024,10,1,22,589,428
member,classic_bike,2024,10,2,12,608,1264
member,classic_bike,2024,12,6,23,880,95
member,electric_bike,2024,8,1,7,777,478
member,electric_scooter,2024,9,3,9,449,523
member,classic_bike,2024,12,6,0,578,40
casual,electric_bike,2024,4,5,21,615,227
casual,classic_bike,2024,4,2,5,874,22
member,electric_bike,2024,6,5,11,709,1137
member,classic_bike,2024,7,6,17,906,2839
member,classic_bike,2024,8,4,7,728,2065
casual,electric_bike,2024,9,4,6,603,411
member,classic_bike,2024,3,5,19,633,851
member,electric_bike,2024,6,7,22,758,1164
member,classic_bike,2024,9,4,22,794,549
casual,electric_bike,2024,2,7,16,699,132
member,electric_bike,2024,5,1,14,858,1295
casual,classic_bike,2024,8,7,22,1551,1562
member,electric_scooter,2024,9,5,20,532,403
member,electric_bike,2024,10,6,8,651,1728
member,electric_bike,2024,11,3,8,582,1983
member,electric_bike,2024,1,2,21,549,196
member,classic_bike,2024,4,5,11,727,694
member,classic_bike,2024,4,6,1,1104,34
member,classic_bike,2024,11,2,4,628,20
member,classic_bike,2024,5,4,14,786,1485
member,classic_bike,2024,6,1,14,1044,2420
casual,electric_scooter,2024,9,6,10,663,391
casual,electric_scooter,2024,9,5,20,805,481
casual,electric_bike,2024,9,6,17,865,1836
member,electric_bike,2024,4,3,1,500,70
member,electric_bike,2024,9,5,4,973,82
member,classic_bike,2024,1,7,15,723,379
member,classic_bike,2024,3,1,14,891,1314
member,classic_bike,2024,6,4,6,720,923
casual,electric_bike,2024,7,3,17,894,2000
member,electric_bike,2024,7,4,7,657,2160
casual,electric_bike,2024,7,7,22,982,1132
casual,classic_bike,2024,10,1,7,2791,475
casual,classic_bike,2024,2,5,21,757,122
casual,classic_bike,2024,6,4,22,1611,665
member,classic_bike,2024,8,3,17,855,3582
member,classic_bike,2024,11,6,9,619,941
casual,electric_bike,2024,12,5,20,511,73
member,electric_bike,2024,1,1,0,580,86
casual,electric_bike,2024,5,1,0,803,530
casual,electric_bike,2024,10,3,2,810,80
member,classic_bike,2024,1,3,10,574,356
casual,electric_bike,2024,10,4,23,625,287
casual,electric_bike,2024,11,1,23,814,151
member,classic_bike,2024,2,1,22,602,254
member,electric_bike,2024,2,2,5,510,87
casual,classic_bike,2024,3,7,7,1125,62
member,classic_bike,2024,5,5,21,750,1048
member,electric_bike,2024,2,1,18,738,314
member,electric_bike,2024,5,4,9,673,1609
casual,classic_bike,2024,5,3,4,665,9
casual,classic_bike,2024,11,1,19,787,162
member,classic_bike,2024,12,1,0,574,111
member,electric_bike,2024,1,3,8,554,731
member,electric_bike,2024,11,2,1,619,100
member,classic_bike,2024,2,2,6,618,603
casual,electric_bike,2024,4,2,3,467,27
member,classic_bike,2024,11,3,14,628,798
casual,electric_bike,2024,2,4,1,450,16
casual,electric_bike,2024,8,2,17,898,1714
casual,electric_bike,2024,8,3,4,694,59
casual,electric_bike,2024,3,4,16,678,549
casual,electric_bike,2024,4,1,16,1377,1160
member,classic_bike,2024,3,2,21,696,387
member,classic_bike,2024,9,7,17,874,1687
member,electric_scooter,2024,9,2,5,360,70
casual,classic_bike,2024,9,4,4,374,17
member,classic_bike,2024,10,5,4,911,30
casual,classic_bike,2024,10,1,4,1353,68
casual,classic_bike,2024,4,5,17,1550,481
casual,classic_bike,2024,4,3,12,1769,421
casual,classic_bike,2024,5,2,17,1844,1084
member,electric_bike,2024,6,4,1,701,97
member,electric_bike,2024,11,3,11,574,824
member,electric_bike,2024,12,2,16,622,1720
member,classic_bike,2024,2,3,16,784,2120
casual,classic_bike,2024,1,3,12,879,58
casual,classic_bike,2024,4,6,4,750,7
member,electric_bike,2024,8,6,13,693,2191
member,classic_bike,2024,8,1,9,915,1186
member,classic_bike,2024,11,4,1,787,30
casual,classic_bike,2024,2,1,22,767,120
casual,classic_bike,2024,2,7,15,1218,298
member,electric_bike,2024,9,7,15,824,1865
member,electric_scooter,2024,9,1,18,576,523
casual,classic_bike,2024,9,3,17,1399,1347
casual,classic_bike,2024,12,6,8,1287,61
casual,electric_bike,2024,3,5,3,463,13
member,electric_bike,2024,5,3,22,651,538
member,classic_bike,2024,8,7,2,870,174
casual,classic_bike,2024,11,2,6,596,105
member,electric_bike,2024,1,6,0,546,50
casual,electric_bike,2024,5,6,6,606,277
casual,electric_bike,2024,11,5,8,511,348
casual,electric_bike,2024,12,2,8,447,257
casual,electric_bike,2024,5,1,23,918,257
casual,electric_bike,2024,6,7,8,934,740
casual,electric_bike,2024,7,4,7,635,676
casual,classic_bike,2024,7,5,16,1938,1708
casual,electric_bike,2024,10,1,5,862,215
member,electric_bike,2024,4,5,12,583,940
member,classic_bike,2024,6,6,0,929,192
casual,electric_bike,2024,12,5,0,553,36
casual,electric_bike,2024,1,5,5,404,29
casual,classic_bike,2024,2,6,5,539,38
member,electric_bike,2024,7,3,20,707,1562
casual,classic_bike,2024,8,5,8,1221,597
member,electric_bike,2024,9,6,5,559,283
casual,classic_bike,2024,5,6,19,1638,1367
casual,classic_bike,2024,6,4,5,1568,99
member,classic_bike,2024,6,1,11,986,2102
casual,classic_bike,2024,7,2,15,2053,1333
casual,classic_bike,2024,8,4,21,1511,704
member,classic_bike,2024,10,7,1,995,234
member,classic_bike,2024,1,2,23,636,66
member,electric_bike,2024,3,2,20,584,569
casual,classic_bike,2024,3,4,15,1358,299
casual,classic_bike,2024,4,7,14,2073,1453
member,classic_bike,2024,4,5,14,671,713
casual,classic_bike,2024,4,2,2,891,7
member,electric_bike,2024,8,5,3,867,80
member,classic_bike,2024,1,7,12,824,454
member,electric_bike,2024,5,1,17,805,1301
casual,electric_bike,2024,6,1,15,1295,2819
member,classic_bike,2024,9,4,2,3695,25
casual,electric_bike,2024,2,3,14,897,222
casual,electric_bike,2024,3,1,1,658,144
member,classic_bike,2024,4,3,0,1064,90
casual,electric_bike,2024,10,4,6,482,390
member,electric_bike,2024,11,6,3,660,64
member,electric_bike,2024,12,3,3,739,28
member,classic_bike,2024,2,6,8,646,1181
member,classic_bike,2024,3,3,8,795,1630
casual,electric_bike,2024,4,7,9,985,531
member,classic_bike,2024,5,1,19,955,1266
member,electric_bike,2024,5,7,1,612,283
member,electric_bike,2024,10,6,11,641,1344
member,electric_bike,2024,11,5,16,721,1659
casual,classic_bike,2024,11,7,12,1810,772
member,classic_bike,2024,3,5,22,709,288
casual,classic_bike,2024,6,3,18,1531,1597
casual,classic_bike,2024,11,5,21,1063,123
